member_id,instrument,hole_no_from_foot,offset_st,target_hz,x_from_labium_in,x_from_foot_in,starter_drill_in,target_final_dia_in,orientation,formula
KAV-GS3-5H,Fipple Kaval,1,2,233.082,26.284,3.219,0.1875,0.2500,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-GS3-5H,Fipple Kaval,2,3,246.942,24.808,4.694,0.1875,0.2500,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-GS3-5H,Fipple Kaval,3,6,293.665,20.861,8.641,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-GS3-5H,Fipple Kaval,4,7,311.127,19.69,9.812,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-GS3-5H,Fipple Kaval,5,8,329.628,18.585,10.917,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-A3-5H,Fipple Kaval,1,2,246.942,24.53,3.004,0.1875,0.2500,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-A3-5H,Fipple Kaval,2,3,261.626,23.153,4.381,0.1875,0.2500,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-A3-5H,Fipple Kaval,3,6,311.127,19.469,8.064,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-A3-5H,Fipple Kaval,4,7,329.628,18.377,9.157,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-A3-5H,Fipple Kaval,5,8,349.228,17.345,10.189,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-B3-5H,Fipple Kaval,1,2,277.183,22.164,2.714,0.1875,0.2500,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-B3-5H,Fipple Kaval,2,3,293.665,20.92,3.958,0.1875,0.2500,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-B3-5H,Fipple Kaval,3,6,349.228,17.591,7.287,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-B3-5H,Fipple Kaval,4,7,369.994,16.604,8.274,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-B3-5H,Fipple Kaval,5,8,391.995,15.672,9.206,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-C4-5H,Fipple Kaval,1,2,293.665,20.455,2.505,0.1875,0.2500,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-C4-5H,Fipple Kaval,2,3,311.127,19.307,3.653,0.1875,0.2500,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-C4-5H,Fipple Kaval,3,6,369.994,16.235,6.725,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-C4-5H,Fipple Kaval,4,7,391.995,15.324,7.636,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-C4-5H,Fipple Kaval,5,8,415.305,14.464,8.496,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-A3-7H,Fipple Kaval,1,2,246.942,30.097,3.686,0.1875,0.2500,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-A3-7H,Fipple Kaval,2,3,261.626,28.408,5.375,0.1875,0.2500,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-A3-7H,Fipple Kaval,3,4,277.183,26.814,6.969,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-A3-7H,Fipple Kaval,4,6,311.127,23.888,9.895,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-A3-7H,Fipple Kaval,5,7,329.628,22.547,11.236,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-A3-7H,Fipple Kaval,6,8,349.228,21.282,12.501,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-A3-7H,Fipple Kaval,7,9,369.994,20.088,13.696,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-AS3-7H,Fipple Kaval,1,2,261.626,28.344,3.471,0.1875,0.2500,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-AS3-7H,Fipple Kaval,2,3,277.183,26.753,5.062,0.1875,0.2500,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-AS3-7H,Fipple Kaval,3,4,293.665,25.251,6.563,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-AS3-7H,Fipple Kaval,4,6,329.628,22.496,9.318,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-AS3-7H,Fipple Kaval,5,7,349.228,21.234,10.581,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-AS3-7H,Fipple Kaval,6,8,369.994,20.042,11.773,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-AS3-7H,Fipple Kaval,7,9,391.995,18.917,12.898,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-B3-7H,Fipple Kaval,1,2,277.183,22.865,2.8,0.1875,0.2500,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-B3-7H,Fipple Kaval,2,3,293.665,21.582,4.083,0.1875,0.2500,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-B3-7H,Fipple Kaval,3,4,311.127,20.371,5.295,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-B3-7H,Fipple Kaval,4,6,349.228,18.148,7.517,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-B3-7H,Fipple Kaval,5,7,369.994,17.13,8.536,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-B3-7H,Fipple Kaval,6,8,391.995,16.168,9.497,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
KAV-B3-7H,Fipple Kaval,7,9,415.305,15.261,10.405,0.2188,0.3000,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
ALG-AS3-J2,Fipple Alghosazi,1,2,261.626,27.158,3.326,0.1875,0.2500,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
ALG-AS3-J2,Fipple Alghosazi,2,4,293.665,24.195,6.289,0.1875,0.2500,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
ALG-AS3-J2,Fipple Alghosazi,3,7,349.228,20.345,10.138,0.1875,0.2500,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
ALG-AS3-J2,Fipple Alghosazi,4,9,391.995,18.126,12.358,0.2188,0.3125,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
ALG-AS3-J2,Fipple Alghosazi,5,11,440.0,16.148,14.335,0.2188,0.3125,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
ALG-AS3-J2,Fipple Alghosazi,6,12,466.164,15.242,15.242,0.2188,0.3125,back thumb,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
ALG-AS3-SOLID,Fipple Alghosazi,1,2,261.626,28.21,3.455,0.1875,0.2500,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
ALG-AS3-SOLID,Fipple Alghosazi,2,4,293.665,25.132,6.532,0.1875,0.2500,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
ALG-AS3-SOLID,Fipple Alghosazi,3,7,349.228,21.134,10.531,0.1875,0.2500,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
ALG-AS3-SOLID,Fipple Alghosazi,4,9,391.995,18.828,12.837,0.2188,0.3125,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
ALG-AS3-SOLID,Fipple Alghosazi,5,11,440.0,16.774,14.891,0.2188,0.3125,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
ALG-AS3-SOLID,Fipple Alghosazi,6,12,466.164,15.832,15.832,0.2188,0.3125,back thumb,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
ALG-A3-J3,Fipple Alghosazi,1,2,246.942,24.045,2.945,0.1875,0.2500,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
ALG-A3-J3,Fipple Alghosazi,2,4,277.183,21.422,5.568,0.1875,0.2500,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
ALG-A3-J3,Fipple Alghosazi,3,7,329.628,18.014,8.976,0.1875,0.2500,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
ALG-A3-J3,Fipple Alghosazi,4,9,369.994,16.048,10.942,0.2188,0.3125,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
ALG-A3-J3,Fipple Alghosazi,5,11,415.305,14.298,12.693,0.2188,0.3125,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
ALG-A3-J3,Fipple Alghosazi,6,12,440.0,13.495,13.495,0.2188,0.3125,back thumb,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
ALG-B3-SOLID,Fipple Alghosazi,1,2,277.183,23.082,2.827,0.1875,0.2500,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
ALG-B3-SOLID,Fipple Alghosazi,2,4,311.127,20.564,5.345,0.1875,0.2500,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
ALG-B3-SOLID,Fipple Alghosazi,3,7,369.994,17.292,8.617,0.1875,0.2500,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
ALG-B3-SOLID,Fipple Alghosazi,4,9,415.305,15.406,10.503,0.2188,0.3125,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
ALG-B3-SOLID,Fipple Alghosazi,5,11,466.164,13.725,12.184,0.2188,0.3125,front,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
ALG-B3-SOLID,Fipple Alghosazi,6,12,493.883,12.955,12.955,0.2188,0.3125,back thumb,starter pre-P0: x_from_labium = labium_to_foot * 2^(-offset_st/12); rerun after measured sound-window correction
